id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,ingested_at,popularity_category
83533,Avatar: Fire and Ash,2025-12-17 00:00:00 UTC,119.5897,7.581,3444,"[878, 12, 14]","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",2026-06-14T21:38:55.836513,High
454639,Masters of the Universe,2026-06-03 00:00:00 UTC,268.0304,7.341,201,"[28, 14, 878]","After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe.",2026-06-14T21:38:55.836513,High
687163,Project Hail Mary,2026-03-15 00:00:00 UTC,165.5349,8.673,5027,"[878, 12]","Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",2026-06-14T21:38:55.836513,High
931285,Mortal Kombat II,2026-05-06 00:00:00 UTC,515.26,8.012,1249,"[28, 14, 12]","The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",2026-06-14T21:38:55.836513,High
936075,Michael,2026-04-22 00:00:00 UTC,522.2704,8.583,2251,"[10402, 18]","The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",2026-06-14T21:38:55.836513,High
1083381,Backrooms,2026-05-27 00:00:00 UTC,134.2924,6.882,513,"[27, 9648, 878]",A strange doorway appears in the basement of a furniture showroom.,2026-06-14T21:38:55.836513,High
1122573,In the Grey,2026-05-13 00:00:00 UTC,177.7751,6.652,221,"[28, 53]","A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",2026-06-14T21:38:55.836513,High
1226863,The Super Mario Galaxy Movie,2026-04-01 00:00:00 UTC,319.2151,8.172,2577,"[10751, 35, 12, 14, 16]","Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",2026-06-14T21:38:55.836513,High
1228710,The Mandalorian and Grogu,2026-05-20 00:00:00 UTC,316.6467,6.8,467,"[28, 12, 878]","The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",2026-06-14T21:38:55.836513,High
1239134,Bhooth Bangla,2026-04-16 00:00:00 UTC,130.312,6,13,"[27, 35]","A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",2026-06-14T21:38:55.836513,High
1273221,Scary Movie,2026-06-03 00:00:00 UTC,109.7352,5.6,272,"[35, 27]","Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.",2026-06-14T21:38:55.836513,High
1275779,Disclosure Day,2026-06-10 00:00:00 UTC,364.8985,6.947,275,"[28, 878, 53]","If you found out we weren’t alone, if someone showed you, proved it to you, would that frighten you?",2026-06-14T21:38:55.836513,High
1280738,The Furious,2026-06-10 00:00:00 UTC,139.2952,7.8,22,"[28, 80]","After Wang Wei's daughter is kidnapped by a criminal network and he receives no help from the corrupt police, Wei sets out to find her himself. His only ally is Navin, a relentless journalist whose wife has mysteriously disappeared. Fueled by a furious vengeance, the unlikely duo ruthlessly battle the kidnappers in this explosive martial arts showdown.",2026-06-14T21:38:55.836513,High
1288341,Seven Snipers,2026-04-30 00:00:00 UTC,120.4146,5.887,31,"[28, 53]","When a former elite sniper is hunted down by the ruthless warlord who once held her captive, she must fight to the death to protect the daughter she has raised in hiding, on a remote Australian farm.",2026-06-14T21:38:55.836513,High
1304313,Lee Cronin's The Mummy,2026-04-15 00:00:00 UTC,241.7629,8.044,1810,"[27, 9648]","The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",2026-06-14T21:38:55.836513,High
1327819,Hoppers,2026-03-04 00:00:00 UTC,124.9252,8.175,1578,"[12, 16, 35, 10751, 878]","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",2026-06-14T21:38:55.836513,High
1339713,Obsession,2026-05-13 00:00:00 UTC,796.2753,7.9,745,"[27, 53]","After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",2026-06-14T21:38:55.836513,High
